continent,country,network,netmask,src_addr,dst_addr,next_hop,input_iface,output_iface,pkts_sent,bytes_sent,start_time,end_time,src_port,dst_port,ip_proto,tos,src_as,dst_as,src_mask,dst_mask,tcp_flag_ACK,tcp_flag_CWR,tcp_flag_ECE,tcp_flag_FIN,tcp_flag_PSH,tcp_flag_RST,tcp_flag_SYN,tcp_flag_URG
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-08 18:50:38,2073-05-08 18:50:42,80,39695,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.5.110.69,11,100.5.111.85,100.10.20.3,0.0.0.0,0,0,12,668,2073-05-08 18:53:28,2073-05-08 18:55:47,OTHER,110,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.5.111.85,0.0.0.0,0,0,8,640,2073-05-08 18:53:28,2073-05-08 18:55:47,110,55188,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-10 20:31:22,2073-05-10 21:05:42,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1583,2073-05-10 20:31:22,2073-05-10 21:05:42,80,40841,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
EU,RO,89.44.100.150,15,89.44.100.150,100.10.20.4,0.0.0.0,0,0,7,925,2073-05-11 01:04:19,2073-05-11 15:59:56,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,89.44.100.150,0.0.0.0,0,0,4,3085,2073-05-11 01:04:19,2073-05-11 15:59:56,80,2072,TCP,0,0,0,0,0,1,0,0,0,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,42,57216,2073-05-11 15:25:02,2073-05-11 15:58:26,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1491,2073-05-11 15:25:02,2073-05-11 15:58:26,80,41319,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,40,54216,2073-05-11 15:58:33,2073-05-11 16:31:57,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,24,1601,2073-05-11 15:58:33,2073-05-11 16:31:57,80,41333,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-09 14:58:24,2073-05-09 14:58:28,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-09 14:58:24,2073-05-09 14:58:28,80,40142,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,43,58716,2073-05-11 16:32:09,2073-05-11 17:05:47,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,26,1681,2073-05-11 16:32:09,2073-05-11 17:05:47,80,41348,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,100.1.10.69,11,100.1.10.101,100.10.20.20,0.0.0.0,0,0,12,1348,2073-05-09 15:17:32,2073-05-09 15:17:49,OTHER,5432,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.20,100.1.10.101,0.0.0.0,0,0,9,673,2073-05-09 15:17:32,2073-05-09 15:17:49,OTHER,35073,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,11,1836,2073-05-09 03:00:55,2073-05-09 15:48:53,OTHER,2561,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,14,1661,2073-05-09 03:00:55,2073-05-09 15:48:53,OTHER,139,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-11 17:05:53,2073-05-11 17:39:17,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,22,1497,2073-05-11 17:05:53,2073-05-11 17:39:17,80,41363,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
EU,GB,92.6.84.70,11,92.6.85.110,100.10.20.4,0.0.0.0,0,0,121,6947,2073-05-07 11:43:33,2073-05-09 16:10:36,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,92.6.85.110,0.0.0.0,0,0,240,348330,2073-05-07 11:43:33,2073-05-09 16:10:36,80,38877,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.10.20.4,0.0.0.0,0,0,7,559,2073-05-09 16:10:24,2073-05-09 16:10:29,OTHER,2565,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,100.10.20.3,0.0.0.0,0,0,8,445,2073-05-09 16:10:24,2073-05-09 16:10:29,OTHER,3306,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.3,11,100.10.20.3,100.20.173.58,0.0.0.0,0,0,8,640,2073-05-09 16:12:39,2073-05-09 16:13:11,110,55854,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.20.172.2,11,100.20.173.58,100.10.20.3,0.0.0.0,0,0,8,460,2073-05-09 16:12:39,2073-05-09 16:13:11,OTHER,110,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,41,55716,2073-05-11 17:39:23,2073-05-11 18:12:47,OTHER,80,TCP,0,0,0,0,0,1,0,0,0,1,1,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,25,1647,2073-05-11 17:39:23,2073-05-11 18:12:47,80,41367,TCP,0,0,0,0,0,1,0,0,1,1,1,1,0
NA,US,29.107.96.134,7,29.107.96.134,100.10.20.4,0.0.0.0,0,0,5,337,2073-05-09 16:35:05,2073-05-09 16:35:08,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
NA,US,100.10.20.4,11,100.10.20.4,29.107.96.134,0.0.0.0,0,0,4,478,2073-05-09 16:35:05,2073-05-09 16:35:08,80,40182,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
EU,GB,92.6.84.67,11,92.6.85.115,100.10.20.4,0.0.0.0,0,0,5,336,2073-05-09 16:36:44,2073-05-09 16:37:47,OTHER,80,TCP,0,0,0,0,0,1,0,0,1,1,0,1,0
